Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
יהוחנה,"jeru0305-1, jeru0305-2",יְהוֹחָנָה,PROPN,w-יהוחנה,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Yehohanah,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהוחנן,"isaw0001-1, jeru0413-1, jeru0414-3, jeru0416-1, masa0302-1, masa0313-1, masa0329-1, masa0341-1, masa0395-2, masa0396-1, masa0397-1, masa0412-1, masa0417-1, masa0484-3, masa0485-2",יְהוֹחָנָן,PROPN,w-יהוחנן,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Yehohanan,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהונתן,"jeru0457-2, jeru0486-3",יְהוֹנָתָן,PROPN,w-יהונתן,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Jonathan,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהוסף,"anna0003-3, jent0006-1, jent0006-4, jeru0326-1, jeru0413-3, jeru0414-1, jeru0417-1, jeru0418-1, jeru0449-13, jeru0465-1, masa0395-1, masa0463-3, masa0470-1, masa0474-1, masa0494-1, masa0495-1, masa0496-1, masa0497-1, mtsc0001-1",יְהוֹסֵף,PROPN,w-יהוסף,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהוספ,qumr0002-5,יְהוֹסֵף,PROPN,w-יהוספ,[none provided],,,y,m,Jewish,Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהועזר,"jeru0456-1, jeru0456-3",יהועזר,PROPN,w-יהועזר,MODAL MASCULINE SINGULAR PERSON_ANY PRESENT,,,y,m,Jewish,Yoezer,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהושוע,"beth0238-2, beth0246-11, beth0247-7, jaff0054-7",יְהוֹשׁוּעַ,PROPN,w-יהושוע,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Joshua,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהותנן,"masa0484-1, masa0484-5, masa0487-1",יְהוֹחָנָן,PROPN,w-יהותנן,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Yehohanan,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהי,beth0227-10,היה,VERB,w-יהי,VERB FEMININE SINGULAR PERSON_2 IMPERATIVE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהיוחנן,jeru0305-4,יְהוֹחָנָן,PROPN,w-יהיוחנן,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Yehohanan,,,,,,,,,,,,,,,,,,,,,,,,,,,
יודן,"beth0227-4, beth0227-16, beth0228-4, beth0244-8, jaff0052-6",יוּדָן,PROPN,w-יודן,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Yudan,,,,,,,,,,,,,,,,,,,,,,,,,,,
יוחנן,jeru0303-10,יוֹחָנָן,PROPN,w-יוחנן,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Yohanan,,,,,,,,,,,,,,,,,,,,,,,,,,,
יוכן,jeru0355-2,יוכן,PROPN,w-יוכן,VERB MASCULINE SINGULAR PERSON_3 FUTURE PASSIVE UNSPECIFIED,,,y,m,Jewish,Yohan,,,,,,,,,,,,,,,,,,,,,,,,,,,
יונתן,beth0243-5,יוֹנָתָן,PROPN,w-יונתן,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_PLURAL SUF_PERSON_3,,,y,m,Jewish,Jonathan,,,,,,,,,,,,,,,,,,,,,,,,,,,
יוסה,jeru0452-2,יוֹסֵה,PROPN,w-יוסה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Jose,,,,,,,,,,,,,,,,,,,,,,,,,,,
יוסף,"beth0258-3, beth0259-2, jeru0303-15",יוֹסֵף,PROPN,w-יוסף,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,
יוספ,"jeru0303-12, mger0150-3",יוֹסֵף,PROPN,w-יוספ,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,
יועוד,masa0466-3,,PROPN,w-יועוד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יועזר,"jeru0303-7, masa0383-1",יוֹעֶזֶר,PROPN,w-יועזר,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Yoezer,,,,,,,,,,,,,,,,,,,,,,,,,,,
יושוע,beth0245-5,,PROPN,w-יושוע,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Joshua,,,,,,,,,,,,,,,,,,,,,,,,,,,
יכ,jord0001-9,,,w-יכ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יליד,jeru0492-17,ילד,VERB,w-יליד,PARTICIPLE MASCULINE SINGULAR PERSON_3 ABSOLUTE PASSIVE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ילכ,jord0001-201,,,w-ילכ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ים,tibe0001-4,,,w-ים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ימין,"jord0001-117, jord0001-333, jord0001-517",יוֹם,NOUN,w-ימין,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,y,day,,,,,,,,,,,,
יני,jeru0344-1,יַנַּאי,PROPN,w-יני,NONSTANDARD,,,y,m,Jewish,Jonathan,,,,,,,,,,,,,,,,,,,,,,,,,,,
ינניה,masa0484-4,,,w-ינניה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יס,beth0272-3,,,w-יס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יסון,"jeru0365-2, masa0480-2, masa0481-2, masa0482-2, masa0483-2",יסון,PROPN,w-יסון,[none provided],,,y,m,Jewish,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
יסן,jeru0353-2,יסון,PROPN,w-יסן,VERB MASCULINE SINGULAR PERSON_3 FUTURE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_FEMININE SUF_PLURAL SUF_PERSON_3,,,y,m,Jewish,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
יסןש,jeru0354-2,יסון,PROPN,w-יסןש,[none provided],,,y,m,Jewish,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
יעקוב,"masa0499-1, masa0500-1, masa0501-1",יַעֲקֹב,PROPN,w-יעקוב,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Jacob,,,,,,,,,,,,,,,,,,,,,,,,,,,
יפה,"masa0516-3, masa0520-1",יָפֶה,ADJ,w-יפה,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יצאו,jord0001-477,יצא,VERB,w-יצאו,VERB MASCULINEFEMININE PLURAL PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יצחק,"beth0255-5, beth0258-1, beth0259-3",יִצְחָק,PROPN,w-יצחק,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,,
ירבןא,jeru0490-1,,,w-ירבןא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ירושלם,"jord0001-60, jord0001-188, jord0001-273, jord0001-349",יְרוּשָׁלַיִם,PROPN,w-ירושלם,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,Jerusalem,https://pleiades.stoa.org/places/687928,,,,,,,,,,,,,,
ירשלם,jord0001-234,יְרוּשָׁלַיִם,PROPN,w-ירשלם,VERB MASCULINE SINGULAR PERSON_3 FUTURE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_MASCULINE SUF_PLURAL SUF_PERSON_3,,,,,,,,,,,,,,,,,y,Jerusalem,https://pleiades.stoa.org/places/687928,,,,,,,,,,,,,,
יש,"jord0001-482, jord0001-485",יֵשׁ,COP,w-יש,EXISTENTIAL UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ישוע,"jeru0300-3, jeru0386-3, jeru0415-1, masa0414-2, masa0457-1",יֵשׁוּעַ,PROPN,w-ישוע,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Joshua,,,,,,,,,,,,,,,,,,,,,,,,,,,
ישמעאל,jeru0334-1,יִשְׁמָעֵאל,PROPN,w-ישמעאל,[none provided],,,y,m,,Ishmael,,,,,,,,,,,,,,,,,,,,,,,,,,,
ישצעל,masa0468-3,יִשְׁמָעֵאל,PROPN,w-ישצעל,[none provided],,,y,m,Jewish,Ishmael,,,,,,,,,,,,,,,,,,,,,,,,,,,
ישראל,"haif0010-2, jord0001-23, jord0001-57, jord0001-66, jord0001-110, jord0001-126, jord0001-180, jord0001-209, jord0001-357, jord0001-364, jord0001-428, jord0001-435, juda0001-5",יִשְׂרָאֵל,PROPN,w-ישראל,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Israel,,,,,,,y,Israel,,,y,Israel,https://pleiades.stoa.org/places/981527,,,,,,,,,,,,,,
ישרון,"caes0500-3, caes0552b-3",יְשֻׁרוּן,PROPN,w-ישרון,,,,,,,,,,,,,,y,"Jeshurun, Israel",,,y,Jeshurun,https://pleiades.stoa.org/places/981527,,,,,,,,,,,,,,
ך,"jord0001-2, jord0001-146, jord0001-243, jord0001-308",,,w-ך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כ,"masa0517-1, unkn0102-11",כ,,w-כ,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כאל,"caes0500-2, caes0552b-2",אַל,PROPN,w-כאל,VERB MASCULINE SINGULAR PERSON_3 PRESENT UNSPECIFIED UNSPECIFIED,y,El,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כאנובס,jeru0449-9,כאנובס,PROPN,w-כאנובס,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,y,Canopus,https://pleiades.stoa.org/places/727097,,,,,,,,,,,,,,
כבו,beth0238-8,,,w-כבו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כבוד,"jord0001-156, jord0001-174",כָּבוֹד,NOUN,w-כבוד,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,glory,,,
כדשא,jeru0327-6,דֶּשֶׁא,NOUN,w-כדשא,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_DEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,"grass, plant",,,,,
כה,jord0001-430,כֹּה,ADV,w-כה,ADVERB UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כהן,"jord0001-483, masa0441-2",כֹּהֵן,NOUN,w-כהן,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,y,religious,priest,,,,,,,,,,,,,y,priest,,,,,y,priest,,,
כהנה,"jeru0451-3, jeru0492-4",כֹּהֵן,NOUN,w-כהנה,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,y,religious,priest,,,,,,,,,,,,,y,priest,,,,,y,priest,,,
כהנים,jeru0303-19,כֹּהֵן,NOUN,w-כהנים,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,y,religious,priest,,,,,,,,,,,,,y,priest,,,,,y,priest,,,
כהנמ,jeru0300-6,כֹּהֵן,NOUN,w-כהנמ,[none provided],,,,,,,,y,religious,priest,,,,,,,,,,,,,y,priest,,,,,y,priest,,,
כוהנ,beth0261-9,כֹּהֵן,NOUN,w-כוהנ,[none provided],,,,,,,,y,religious,priest,,,,,,,,,,,,,y,priest,,,,,y,priest,,,
כוהנים,beth0260-1,כֹּהֵן,NOUN,w-כוהנים,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,y,religious,priest,,,,,,,,,,,,,y,priest,,,,,y,priest,,,
כול,"jeru0449-5, jord0001-68",כֹּל,ADJ,w-כול,VERB MASCULINE SINGULAR PERSON_2 IMPERATIVE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כוסבא,juda0001-3,כוסבא,PROPN,w-כוסבא,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Cosba,,,,,,,,,,,,,,,,,,,,,,,,,,,
כי,"jord0001-103, jord0001-119, jord0001-350, jord0001-358, jord0001-495",כִּי,CONJ,w-כי,CONJUNCTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כיסה,masa0546-2,כִּיסְתָּא,NOUN,w-כיסה,VERB MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,"fodder, forage, hay, liquid",,,,,
ככרן,jeru0370-1,כִּכַּר,NOUN,w-ככרן,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,object,,,,,
כל,"huqo0001-2, jeru0534-1",כֹּל,ADJ,w-כל,DET_QUANTIFIER UNSPECIFIED UNSPECIFIED ABSOLUTECONSTRUCT UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כלן,masa0450-7,כֹּל,ADJ,w-כלן,DET_QUANTIFIER UNSPECIFIED UNSPECIFIED ABSOLUTE UNSPECIFIED UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_NOMINATIVE SUF_FEMININE SUF_PLURAL SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כן,"beth0237-1, huqo0001-11, jord0001-50, jord0001-62, jord0001-202",כֵּן,ADV,w-כן,ADVERB UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כנבון,masa0430-2,כנבון,PROPN,w-כנבון,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_DEFINITE ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כנסת,jeru0419-3,כְּנֶסֶת,NOUN,w-כנסת,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,y,mother of the synagogue,,,,,,,,,,,,,y,mother of the synagogue,,,,,y,"synagogue, mother of the synagogue",,,
כסמכך,jord0001-152,סמך,VERB,w-כסמכך,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,ordain,,,
כסף,jeru0357-21,כֶּסֶף,NOUN,w-כסף,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,money,,,,,
כרה,jeru0357-10,כַּר,NOUN,w-כרה,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,pile,,,,,
כרוטין,masa0449-5,כרוטין,NOUN,w-כרוטין,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PARTICIPLE MASCULINE PLURAL PERSON_ANY ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כרשנין,masa0543-1,כַּרְשִׁינָא,NOUN,w-כרשנין,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,vetch,,,,,
כשירין,"masa0449-7, masa0450-8, masa0451-6, masa0452-5",כשר,ADJ,w-כשירין,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,"kosher, fit, suitable",,,
כתבה,masa0039-4,כתב,VERB,w-כתבה,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כתבידח,"masa0039-5, masa0515-1",,,w-כתבידח,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כתביה,masa0039-2,כתב,VERB,w-כתביה,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כתושה,masa0516-2,כָּתוּשׁ,ADJ,w-כתושה,"ADJECTIVE FEMININE SINGULAR ABSOLUTE UNSPECIFIED
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ל,"beth0236-3, beth0239-9, beth0241-3, beth0241-4, beth0248-4, beth0276-2, hali0001-1, huqo0001-17, huqo0001-20, jeru0347-1, jeru0449-18, jord0001-12, jord0001-27, jord0001-31, jord0001-32, jord0001-33, jord0001-140, jord0001-186, jord0001-194, jord0001-226, jord0001-279, jord0001-280, jord0001-305, jord0001-366, jord0001-375, jord0001-377, jord0001-395, jord0001-417, jord0001-448, jord0001-479, jord0001-522, jord0001-533, jord0001-565, jord0001-568, masa0450-10, qumr0001-3, qumr0001-39, qumr0001-44, unkn0102-12",ל,,w-ל,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא,"ahma0001-1, bshe0101-3",לֹא,ADV,w-לא,NEGATION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לאדר,jeru0369-2,אֲדָר,PROPN,w-לאדר,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,y,"month, Adar",Hebrew,,,,,,,,,,,
לאה,jeru0449-11,לֵאָה,PROPN,w-לאה,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,y,f,Jewish,Leah,,,,,,,,,,,,,,,,,,,,,,,,,,,
לאונ,beth0272-1,,,w-לאונ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לאזעזר,qumr0001-8,לאלעזר,PROPN,w-לאזעזר,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Eleazar,,,,,,,,,,,,,,,,,,,,,,,,,,,
לאכים,jord0001-319,,,w-לאכים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לאלפים,jord0001-471,אֶלֶף,X,w-לאלפים,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NUMBER MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לאששא,jeru0526-1,אשתא,,w-לאששא,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,fire,,,,,
לב,jord0001-43,,,w-לב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לבבל,jeru0492-20,בָּבֶל,PROPN,w-לבבל,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,Babylonia,https://pleiades.stoa.org/places/912816,,,,,,,,,,,,,,
לבבם,jeru0327-3,לֵבָב,NOUN,w-לבבם,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_PLURAL SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,body part,heart
לבית,jeru0309-1,בַּיִת,NOUN,w-לבית,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_DEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,"house, place of trumpeting",,,,,,,,,,,y,place of trumpeting,,,
לברכה,"beth0247-10, beth0248-18",בְּרָכָה,NOUN,w-לברכה,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,blessing,,,
לג,"masa0593-1, masa0594-1, masa0595-2",לֹג,NOUN,w-לג,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,y,log,,,,,,,
לה,"masa0539-2, qumr0001-38",,,w-לה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
להכריז,jeru0309-3,כָּרַז,VERB,w-להכריז,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לו,"jord0001-240, jord0001-411",לְ,PREP,w-לו,PREPOSITION SUF_PRONOMINAL SUF_TYPE_NOMINATIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לוד,jaff0052-12,לוֹד,PROPN,w-לוד,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,"Lod, Lydda",https://pleiades.stoa.org/places/687953,,,,,,,,,,,,,,
לווי,"beth0228-6, beth0246-13, beth0250-9",לֵוִי,PROPN,w-לווי,VERB MASCULINE SINGULAR PERSON_2 IMPERATIVE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Levi,,,,,,,,,,,,,,,,,,,,,,,,,,,
לוי,"beth0227-6, beth0227-7, beth0227-18",לֵוִי,PROPN,w-לוי,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Levi,,,,,,,,,,,,,,,,,,,,,,,,,,,
לום,beth0266-2,,,w-לום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לות,"jeru0357-1, jeru0357-16, jeru0357-25",לְוָת,PREP,w-לות,VERB MASCULINE SINGULAR PERSON_2 IMPERATIVE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לחנונה,thar0001-1,חַנּוּנָהּ,PROPN,w-לחנונה,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,y,f,Jewish,Hanunah,,,,,,,,,,,,,,,,,,,,,,,,,,,
לחנניה,jeru0370-3,חֲנַנְיָה,PROPN,w-לחנניה,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hananiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
לטב,mari0004-2,טָב,ADV,w-לטב,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לטהרת,"masa0449-11, masa0450-9, masa0450-11, masa0451-7, masa0452-6, masa0453b-1",טׇהֳרָה,NOUN,w-לטהרת,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN FEMININE SINGULAR CONSTRUCT UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,pure,,,
לי,"jord0001-496, jord0001-546",לְ,PREP,w-לי,PREPOSITION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לי/ואת,qumr0001-28,,,w-לי/ואת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ליהוה,jord0001-421,יהוה,PROPN,w-ליהוה,PreLets ERR ERR,y,Yehovah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ליודן,beth0274-2,יוּדָן,PROPN,w-ליודן,PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_PLURAL SUF_PERSON_1,,,y,m,Jewish,Yudan,,,,,,,,,,,,,,,,,,,,,,,,,,,
ליקרה,mari0004-9,יְקָר,NOUN,w-ליקרה,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE FEMININE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
